"","logFC","logCPM","F","PValue"
"GINM1",-0.199727417938168,4.25833037981076,2.17158997739016,0.164058782276586
"KATNA1",0.191784002568533,4.46483836247934,2.02373527092203,0.178091341955568
"LATS1",-0.0446637462638453,5.00990592738829,0.161202201491747,0.694485880581469
"NUP43",0.0498954071973924,4.18939693185955,0.181181079729901,0.677228150989767
"PCMT1",0.108001514930088,6.44182746944483,1.64536574952594,0.221689406241371
"LRP11",-0.328954226536972,6.46713771150845,9.40588694550921,0.00887827933812865
"RAET1E",0.0148619041819316,5.14581554987632,0.0141519192238807,0.907099577795023
"RAET1G",0.103726475855571,5.04826157424276,0.803448055526306,0.386142865020694
"ULBP2",0.36130986973097,4.5491124764645,9.67885914756109,0.00815032399643641
"ULBP1",0.00813840794618066,2.50886150754467,0.00163982752666778,0.968305637758947
"RAET1L",0.59106141594316,2.60281235178512,9.54435283089066,0.00849997584157866
"ULBP3",-0.0987070721995925,2.49347311021127,0.21739869376488,0.648641169431758
"PPP1R14C",-0.176760523406676,5.83054816764885,2.30855544110833,0.152281898507206
"IYD",-1.14200293256776,-0.0887504928215755,5.90514480412571,0.0300990174352167
"PLEKHG1",-0.080947217674344,3.83795131640821,0.364840767471781,0.556084002525045
"MTHFD1L",0.215167699236298,5.51646867816949,5.35747815546672,0.0373739236057079
"AKAP12",0.3065452203319,6.08392831836754,10.5318921135555,0.00628471603402535
"ZBTB2",0.117647191381108,4.06321529017339,0.854340785748668,0.371939947709622
"RMND1",0.00685100203170329,4.40554174983939,0.00318167690901256,0.955864204985272
"ESR1",-0.468769157812697,0.250712578272309,1.55786383171962,0.233695727807894
"SYNE1",-0.400919005110054,3.62310735317501,8.24653354080858,0.0129478972520342
"FBXO5",-0.419076337539192,2.51560691117391,4.55621863774626,0.0521358197181614
"MTRF1L",0.104292458116215,3.87772945194665,0.328889599807381,0.575968496227728
"RGS17",-0.0755752279831922,0.515250540720162,0.0259207187354964,0.874535599669188
"CNKSR3",-0.117727217481528,1.56345980752712,0.175027236906157,0.682418278700841
"SCAF8",-0.166128909930549,6.11611428640106,2.89052577698572,0.11256260442621
"TIAM2",-0.897599256571261,0.808673093871141,6.56226837917418,0.0234576558835984
"TFB1M",0.152536315545246,4.05429089166417,1.09372595846692,0.314447925875742
"ARID1B",0.00488451335392166,5.9887744999955,0.00252810444514789,0.960653030304796
"TMEM242",0.0523367502564775,4.85407748763746,0.171697003817504,0.68527223086328
"ZDHHC14",0.297198818311832,2.61702840503924,2.32192386936508,0.151190058482432
"SNX9",0.118309075477214,6.51686448158139,1.50893020552659,0.240785223972804
"SYNJ2",-0.0325931856751187,4.28683662221715,0.0674177611659765,0.799145788934403
"SERAC1",-0.163660787760282,3.26630254031142,1.1629882703563,0.300187347762812
"GTF2H5",-0.183791258086551,5.3339384950659,2.92807823054751,0.110467107558324
"TULP4",0.00195775520402022,5.42705473472849,0.000410789753276714,0.984133233755735
"TMEM181",-0.0471687459406686,6.00987656635369,0.267763609237807,0.613410136221489
"DYNLT1",-0.0513301702179383,6.68229030526814,0.181272176763195,0.677152114200032
"SYTL3",-0.622817421190669,1.49994445353651,5.31986305286381,0.0379456326675663
"EZR",0.10904688024195,9.49742833081624,1.99617620475668,0.180873140707272
"RSPH3",0.0939968555506245,4.23830615067927,0.58053813796987,0.459518856815068
"SOD2",1.51720211979673,7.22742158656618,190.01040349172,3.29013751256936e-09
"WTAP",0.233830602196955,5.93365960304884,6.46939359913999,0.0242831369417753
"ACAT2",0.252289768678667,6.6124591654679,6.39598463947759,0.0249597806054695
"TCP1",0.0652427724904322,8.00477370261273,0.649172837077514,0.43470409331953
"MRPL18",0.249212833606714,5.52629122540013,4.31692588707847,0.0578246870460994
"IGF2R",-0.015775666352489,8.30519982228665,0.0336708234812301,0.857201475981604
"SLC22A3",-0.0421456635835714,2.8110349388531,0.0504317780987942,0.825757511603567
"MAP3K4",-0.140102405173539,5.48575590585502,2.08443449977961,0.172153477819823
"AGPAT4",0.0861679403688191,4.16193005568382,0.524237832154533,0.481693798129983
"QKI",0.0538665818778792,5.91280467714742,0.200338016460475,0.661715895211114
"SFT2D1",-0.0271087171892707,3.78377335303362,0.0150670613792291,0.904158582881117
"LOC100289495",-1.17155375423462,-0.00898815449340063,5.50546301676897,0.0352211770089077
"MPC1",0.0594800196334507,3.32982402847394,0.119486945874082,0.735046338655919
"RPS6KA2",0.20570507290101,3.230430671434,1.51452618654167,0.239960185219698
"RNASET2",-0.018453813151803,3.23236145157958,0.012313941456211,0.913313527100575
"FGFR1OP",0.173657721201994,3.71629818755448,1.34069042338441,0.267463465567184
"DACT2",-0.359004919755593,0.482171377070451,1.08310385935921,0.316718696624127
"THBS2",-0.308302212636567,2.12538212465006,1.96328555251471,0.184265961734771
"WDR27",0.0364017739702668,3.24887690299116,0.0275294601346178,0.870737903842779
"C6orf120",-0.260459209597103,4.2616561567132,4.20707214508204,0.060682539906288
"PHF10",0.160598568950008,3.78419533764391,1.15408086733602,0.301969976551944
"DLL1",-0.00038836634498512,2.89651990291787,5.55586580000503e-06,0.998154618969612
"FAM120B",0.119958020271245,5.81765209018667,1.24988576401623,0.283537439993512
"PSMB1",0.0216129587759747,7.39762607639488,0.0619563764805792,0.807266625071598
"TBP",-0.0155820549603914,4.14809871895782,0.0148602703464976,0.904815033527634
"PDCD2",-0.111661074188693,5.23051120639472,0.962399864694364,0.344247658448994
"FAM20C",0.267892508396624,2.94322681552558,2.19507911372847,0.161959785759125
"PDGFA",-0.0177659241494169,4.43803573887709,0.0211696021601217,0.886519382455397
"PRKAR1B",0.320747636111669,3.99793351833616,6.43333244825853,0.0246128029133344
"SUN1",0.101390822756229,6.88622332533336,1.05223139099297,0.323451803673874
"GET4",0.0916859904481418,5.26582681290327,0.771311440716901,0.395539330489991
"ADAP1",0.440918929971367,2.88417289527745,5.84826035786464,0.0307716491317066
"COX19",0.0664148032015306,5.16677819637907,0.352919290360023,0.562523240414413
"C7orf50",0.0672039708941702,4.65056570474533,0.165921898547887,0.690299972527654
"ZFAND2A",-0.0867218415754872,3.87783667949316,0.410993504250366,0.532454911753773
