"","logFC","logCPM","F","PValue"
"KBTBD7",0.281765013560978,2.52124116376789,2.40454988978931,0.145345131972576
"MTRF1",-0.0843909799315294,3.13452367426448,0.262190915660553,0.617337906509472
"NAA16",-0.154314586112914,2.87844419109303,0.608059552601797,0.449696892679899
"RGCC",-0.726492953468369,1.3674494146741,7.44025997215203,0.0174587027796538
"VWA8",-0.272187139070116,6.25952231356608,10.4509853085769,0.00665848819861519
"DGKH",0.0567913389547943,3.71902748386099,0.153294789977374,0.701845962857155
"AKAP11",-0.249311641807721,5.96144428495454,5.2118018927668,0.0401904048660772
"EPSTI1",1.05199931807514,2.90045696028685,21.3170394145036,0.000502020042965815
"DNAJC15",-0.194832258405233,5.04896456262808,3.48990563840237,0.0847993204016695
"CCDC122",-0.585859550023336,2.16789691841046,3.50526992871479,0.0841923575480001
"LACC1",-0.0253836340470262,5.53141996294532,0.0367903395163217,0.85090157845575
"TSC22D1",-0.194052347754618,6.74328325190457,5.55360247880725,0.0350693500344606
"NUFIP1",-0.213947114097139,3.33957237118577,1.93881386215485,0.187512564562664
"GTF2F2",0.109217678682312,5.74812569303069,0.834275035928841,0.377921356418246
"TPT1",0.00955814805358465,11.7881109706389,0.0143799885198164,0.906410796918798
"SNORA31",-0.558385872213833,-0.121319030422281,0.885562877262077,0.364102553254713
"TPT1-AS1",0.267280624233321,2.69548597987258,2.29635003647267,0.153975328558107
"SLC25A30",-0.0539698838358392,4.66831811695287,0.218908449903893,0.647738387552916
"COG3",-0.0118278550257398,5.19018606703706,0.0131905804285558,0.910345724195225
"ZC3H13",-0.0461282200287366,7.92761411763079,0.278279660983027,0.606853576362401
"LCP1",0.0836165425892538,3.07229623379741,0.224049382561578,0.643941616644393
"LRCH1",0.0967382594873345,4.69966721721654,0.666713202497479,0.429133628150005
"ESD",-0.15969708607232,6.25414980579395,3.06764921944722,0.103770161063401
"SUCLA2",-0.0418657413735532,5.12231755729496,0.115075010908811,0.739939092696645
"NUDT15",-0.173103187351674,4.16041572910232,1.89525205263205,0.192211954639644
"MED4",-0.0373083103488987,6.1651472952703,0.100284830640429,0.756593038383884
"ITM2B",-0.335745500197548,7.13715580945409,3.37894566431252,0.0893439206689624
"RB1",-0.20957921678726,5.56396055584584,2.74837720328831,0.121641646115965
"LPAR6",-0.146482983277791,3.32931076528547,0.824772927653152,0.380567897604372
"RCBTB2",-0.0587106410978822,2.50172680799668,0.0787267719814205,0.783513638674327
"FNDC3A",-0.11916796266406,5.35374604825684,0.910744842529647,0.357591469641382
"CDADC1",-0.170770948811341,3.04820597843972,1.21044037455959,0.291504166968898
"CAB39L",0.0153754383872874,3.84332407475574,0.0105622937430832,0.919735627706586
"SETDB2",-0.0578811605517892,3.42066650218895,0.129733392199744,0.724581676204396
"PHF11",0.214977772241825,3.87116100140509,1.34748950704848,0.266907550354423
"RCBTB1",-0.0137919884005937,4.74801909294484,0.0149374189077223,0.904623609825696
"EBPL",-0.0330794202092311,3.91407251955562,0.0683414400177065,0.797925940729556
"KPNA3",-0.166584789058453,5.63260926499167,1.51597234339136,0.240371655651767
"SPRYD7",-0.0598442047043597,4.74478481070762,0.284834638865295,0.60269415286994
"TRIM13",-0.0469359266294547,3.99805333304694,0.0742625654455213,0.789574855218295
"DLEU1",-0.337974778052494,2.00811878027816,2.24195811403988,0.158556814137332
"RNASEH2B",-0.330247984108944,2.66068751252399,2.21339451216386,0.161031544380195
"INTS6",0.0311104379754251,6.45808497862541,0.106420258186895,0.74952865577268
"WDFY2",-0.134305281539886,4.64853751300587,1.53515383413709,0.237577896063382
"DHRS12",0.160510767658177,1.83669432456175,0.559111372763281,0.468132940299331
"ATP7B",0.03729793044465,4.38830018703122,0.0944309423706134,0.763559984064482
"ALG11",-0.439863425742499,2.40152070380385,2.48518178282496,0.139304588663205
"UTP14C",-0.240099635986557,5.12890553655806,4.42909721862086,0.0556758194637821
"NEK3",0.211428565024193,3.44399442024777,1.60904546329673,0.227208860063253
"MRPS31P5",-0.289013977540744,2.20521101065319,2.17865199917182,0.16410768857141
"THSD1",0.409208560253435,5.21766227979236,11.3281922431143,0.00516529182196274
"VPS36",-0.13396974755874,6.03443050246375,1.9608273143902,0.185193811669756
"CKAP2",-0.397287979651407,6.55177306400358,17.1232124506964,0.00120435470534989
"HNRNPA1L2",-0.292872386625151,3.24502057499922,3.07198529857156,0.103550486880315
"SUGT1",-0.144478502799726,4.78116200521865,0.633345345153504,0.440639403840469
"DIAPH3",-0.280653781974253,3.84078285044949,2.61961527837642,0.129912258763179
"TDRD3",-0.147539590334338,4.59293372175189,1.79228316892807,0.203938626294792
"MZT1",0.0629320580288425,1.38074708933123,0.0529372469021991,0.821664630993814
"BORA",-0.384253063495831,2.92386420533522,4.19089604729922,0.0617402594666499
"DIS3",-0.052199267055761,6.05055578057789,0.153201868941416,0.701931506813478
"PIBF1",-0.146194810293411,3.13964935832737,0.394798821903265,0.540836444922992
"KLF5",0.0772698907432115,7.80737762828112,0.928784988661256,0.353032083049071
"KLF12",-0.187957198574677,3.91118332264097,1.80110658863309,0.202898153243127
"TBC1D4",-0.238295158562844,4.27636366623874,3.19236006228978,0.0976727279762651
"COMMD6",-0.265296841155947,4.80824014970571,2.76828256534412,0.12042184008417
"UCHL3",-0.193554669867828,5.05283780453694,1.31860963821402,0.271847779433714
"LMO7",0.161593277621852,7.70104197068935,4.51762391408223,0.0536052894322837
"KCTD12",0.320570243223922,6.3408353005963,9.30534006758373,0.0094356957228075
"CLN5",-0.23032606732217,5.46207600074036,4.08641567300867,0.0646482131749963
"FBXL3",-0.322651213780241,4.19143812417062,3.1612580825232,0.0991515045831023
"MYCBP2",-0.0170050228693855,6.61941806815968,0.0438116875762282,0.83749848913823
"SCEL",0.251528107396633,8.05935341378352,5.68089869188009,0.0333622739878237
"RNF219",-0.441286247443981,4.24215729772058,5.26745079027987,0.0392990934784843
"RBM26",0.136335008618122,6.29748126400188,2.86008643291943,0.114987351030738
"RBM26-AS1",0.10226203496487,1.30215531543412,0.123565567333605,0.730917433505623
"NDFIP2",-0.204420296982665,5.80060501742791,3.18720117548631,0.0979161424887593
"SPRY2",0.308557884670472,2.92432326274751,3.17113488558031,0.0986789607654667
"SLITRK6",-0.597549377274754,5.75673273520582,30.9072288253919,9.77391892987079e-05
"MIR17HG",-0.515463979033847,0.13270602072759,1.07812594061877,0.318332951723877
"GPC6",-0.634006066476109,1.27358103948126,5.42395031116442,0.0369153137907675
"TGDS",-0.265567181595914,2.9206639643236,1.22532063600372,0.288686488883683
"GPR180",-0.192144720080233,4.49328995972212,1.65981736505911,0.220427643249629
"SOX21",-0.476551561683529,0.51203252897217,1.32128236215685,0.271385382642457
"ABCC4",-0.251946652383505,3.50938896010978,2.93259399353547,0.110907182486763
"DZIP1",-0.200111947641997,3.4730576406058,2.07941814353522,0.173313182622747
"DNAJC3",-0.0193682196646237,6.5614474107881,0.0512596951544993,0.824460669394501
"UGGT2",-0.161981492366689,4.01468589606079,1.30659440577895,0.273939800802588
"MBNL2",-0.389399515460767,5.40412247310595,8.39210330697912,0.0126513386395663
"RAP2A",-0.0558653967016712,4.69431703960504,0.131637343363497,0.722660607333332
"IPO5",-0.071487507989737,7.0835029052622,0.545455799031323,0.473504428348086
"FARP1",0.140145200196639,5.57873157484014,2.43056963341582,0.143360746673485
"STK24",-0.0911561132896266,7.48264525223282,1.43359161335428,0.252880992153381
"DOCK9",0.0492559822531067,7.07075143901644,0.413813080534799,0.53139553681029
"UBAC2",-0.0605253463080405,5.88384170922219,0.417754220233417,0.529477596653606
"TM9SF2",-0.10718167291589,7.62580274356581,1.39176735039003,0.259566897293273
"CLYBL",-0.483771051852125,1.87574544649183,3.60668281358243,0.0803153186350691
"PCCA",-0.0812246337425364,4.17446607247891,0.32539446305425,0.578259265074901
"GGACT",-0.292754885800101,1.58383982797464,1.28136828373107,0.278404099980623
"TMTC4",-0.419508310306303,2.89452167468384,5.8217030110154,0.0315872092193785
"NALCN",0.181076217581032,1.03502379431532,0.375848369201779,0.550570872208845
"ITGBL1",0.00168433582571941,2.20350522531742,6.18111953948903e-05,0.993848289930205
"TPP2",-0.229992052453851,5.60715611530887,4.43846513815004,0.0554522506573882
"TEX30",0.139470969034566,2.14021849533395,0.33505754528754,0.572740612775305
"KDELC1",0.0811272775425365,3.05063283154032,0.229863406390219,0.63971214683619
"BIVM",-0.327724492309366,2.22537847511066,2.23185225260577,0.159426861707109
"ERCC5",0.538645637918963,0.814701534367399,2.78631494660244,0.119329812515188
"EFNB2",0.0474297243974237,6.8501540089929,0.340178222976835,0.569859632042589
"ARGLU1",-0.130923775681543,6.36011518679406,2.20392355575801,0.161862843263375
"LIG4",-0.127400256408088,5.17088876116274,0.76098835079496,0.3990863970639
"ABHD13",-0.581063170487104,3.42817459340266,9.02230923040749,0.0103175546773747
"IRS2",-0.367657771802066,2.68652299804681,3.67125995481874,0.0779588288471873
"COL4A1",0.141920931138691,6.57133085488695,3.20842354530302,0.0969195063446071
"COL4A2",0.0441003341547881,7.04390733332347,0.142379072896638,0.712108827511621
"RAB20",0.415352814968264,1.90602680081331,2.30891667771974,0.152940590030148
