"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ICMT",1570.60424364313,0.00944831275839731,0.0962665583067651,0.0981474036735489,0.92181524651399,0.982383236818308
"HES3",0,NA,NA,NA,NA,NA
"GPR153",933.330859624922,0.249360572265344,0.118766457750451,2.09958751812987,0.0357651417161867,0.323170794479645
"ACOT7",829.623134704597,0.220106483948734,0.144285622909489,1.52549144890761,0.127136564780417,0.550147407752569
"HES2",5314.1937413378,0.0477612574647182,0.0872598860301172,0.547344944368065,0.584141771746277,0.890417995124349
"ESPN",610.003069548848,-0.391614109969096,0.152014928056425,-2.57615561166294,0.00999056730192696,0.155054121502222
"MIR4252",0,NA,NA,NA,NA,NA
"TNFRSF25",238.652216342118,0.0685098587337476,0.190843408601308,0.358984673538669,0.71960655487961,0.928592001601665
"PLEKHG5",1261.59394373706,0.100982150061531,0.13991461864134,0.721741237921614,0.470453583272647,0.840260776912602
"NOL9",328.552566042909,-0.0635924134891643,0.148249874761064,-0.428954247628585,0.667956520833354,0.914276872033493
"TAS1R1",0.300838501801064,1.61950864695634,3.81159691599207,0.424889798856085,0.670917011463438,NA
"ZBTB48",180.922110358946,0.107221069491194,0.188658428537162,0.568334371925892,0.569807943970876,0.884929044190143
"KLHL21",619.577531687755,0.0854174471817928,0.133704155965376,0.638854092193759,0.522917855239347,0.867696474316244
"PHF13",238.871617104807,-0.020642763316587,0.165390729664211,-0.124812094114934,0.900672312547789,0.978481004585332
"THAP3",106.459540240414,0.321918227820624,0.231248234116121,1.39208945335761,0.163895311555828,0.608185918985102
"DNAJC11",1182.63169253259,0.237755410922688,0.110170720483026,2.15806350253758,0.0309228948962885,0.30112172895355
"CAMTA1",265.096535227026,0.0361674985656631,0.159304167537722,0.227034227193704,0.82039712754746,0.957322972027495
"VAMP3",1829.45041759619,-0.0358983510677949,0.0972547105488022,-0.369116836246005,0.712040640184016,0.925025794290498
"PER3",138.611092908981,-0.503981356560222,0.19562917332963,-2.57620756650147,0.00998906615758855,0.155054121502222
"UTS2",0,NA,NA,NA,NA,NA
"TNFRSF9",8.10146335934463,-0.340511487467774,0.734057908112625,-0.463875511324823,0.642736938784302,NA
"PARK7",2116.23232034227,0.104008443000513,0.0931540722686001,1.11652062510606,0.264199346678109,0.712164614498841
"ERRFI1",2327.23298565165,0.383794123874237,0.102703546011445,3.73691210069289,0.000186294011393086,0.00856310059265462
"SLC45A1",3.70715039988012,0.112140866870002,1.14077824406001,0.0983020735659325,0.921692431691101,NA
"RERE",1244.07851054982,0.0108542593044081,0.110359018818916,0.0983540758206493,0.921651139990752,0.982383236818308
"ENO1",33946.1523983768,0.237640575463088,0.0914550997313838,2.59843984819951,0.00936484509541479,0.151334146072635
"ENO1-AS1",0.752508971336671,-1.53841952464972,2.72642258120382,-0.564263051243672,0.572575123280443,NA
"CA6",0.606023948906322,2.62202656379458,2.68967170001365,0.974850039795292,0.329634651276059,NA
"SLC2A7",0,NA,NA,NA,NA,NA
"SLC2A5",16.9141272085462,-0.65909848375684,0.517056307037203,-1.27471316911993,0.202410783916227,0.653736026856127
"GPR157",82.561056704465,0.299040701508802,0.306702090896782,0.975020094041162,0.329550292661337,0.769228790697294
"MIR34A",2.98714119372023,0.0441051743338655,1.22555283441323,0.0359879828069445,0.971291941079151,NA
"H6PD",494.761108935581,-0.11222100314107,0.121976311622333,-0.920022926160715,0.357560778771621,0.785363724445832
