"","logFC","logCPM","F","PValue"
"PNPLA6",0.167245494894986,5.82179861799689,1.05460014999539,0.321808955981172
"CAMSAP3",-0.0584504616731659,3.97654164296375,0.122041333483906,0.732012350393445
"XAB2",0.179912685005259,5.11961841981823,1.28996884081407,0.275059895797077
"PET100",0.160808547999911,5.07370731821882,2.02411092847471,0.176645301652409
"STXBP2",0.0228720918199282,6.7773301849806,0.064617851575139,0.803023829043804
"TRAPPC5",0.209649400109611,3.31885046178794,0.333089304347173,0.572979317458362
"EVI5L",0.053341026920386,4.79472204066686,0.168943107486368,0.687254222591044
"LRRC8E",0.13031002178726,3.83438329728987,0.835740119669625,0.376042570941656
"MAP2K7",0.0142254917499402,4.72998641275186,0.00813566491408147,0.929403380670742
"TGFBR3L",0.230069594153456,0.377467660814485,0.314580194995899,0.583719145677577
"SNAPC2",-0.0582983569676806,2.98509107137871,0.075266939312707,0.787810197335258
"CTXN1",0.210099648265793,2.27920216142324,0.949823157727589,0.346248811385572
"TIMM44",0.147236756519643,5.07576512840788,1.9375987345521,0.18557620926264
"ELAVL1",0.0512697303247578,6.45260513524297,0.317807034837279,0.581816939161114
"CERS4",0.0396643376772422,2.51174824910526,0.0407951773095312,0.842829515763697
"CD320",0.147558230400562,3.02769763323581,0.812353150054444,0.382618234852076
"NDUFA7",-0.0705733100885888,5.68969477225291,0.361067972955429,0.557485309817331
"RPS28",-0.226519907377051,6.73609252147042,2.16613986799006,0.163126268720019
"ANGPTL4",0.497590589680726,8.34781029696655,22.0032477937141,0.000344110434223492
"RAB11B-AS1",-0.0186097704158188,1.88062479403994,0.00601316722561999,0.939283969447049
"RAB11B",-0.0705383245039526,5.62864601328749,0.348545396543846,0.564315026379379
"MARCH2",0.250024423359329,3.26822628880336,2.60644777407504,0.128660035475692
"HNRNPM",0.0474293060555394,7.70586996584275,0.297072117610439,0.594272030084009
"ZNF414",-0.356715074080743,1.80809138459975,1.32134092334353,0.269546359468207
"ZNF558",0.0804540762667259,3.88977555795509,0.30855324517101,0.587307011297142
"MUC16",-0.492434287827312,4.87804360329676,12.5577424109802,0.00322589336550836
"ZNF317",0.0942162146273341,6.10424226752497,1.07098936472949,0.318209625494497
"ZNF699",-0.000213796088745376,2.57954979384378,1.15427559627217e-06,0.999157883128672
"ZNF559",-0.4248703815031,2.63703704545798,4.03989706862526,0.06404521548567
"ZNF266",-0.170320843839795,4.38888602036084,1.73432317942765,0.208939186799625
"ZNF426",0.0958183915835287,3.73821863853351,0.376825306352974,0.549119462287845
"ZNF121",-0.0733326675661703,4.78979294486507,0.362365224774538,0.556787148292906
"ZNF561",-0.0724206152840315,6.33532179517476,0.615905995693298,0.445606536242662
"ZNF562",0.0897028560388123,5.59621458615863,0.567027759507996,0.46387578244084
"ZNF846",-0.145543742096001,2.45666747806224,0.546704384047665,0.471843006728276
"FBXL12",0.231213496868656,3.65388771356676,2.77370063434283,0.117959054599073
"UBL5",-0.0262792792446755,7.73631873860262,0.103468247489975,0.752443005502799
"PIN1",-0.100936693105459,4.80724540871566,0.606191072969863,0.449142160314722
"OLFM2",0.343107161370227,1.06941308786797,1.38886675773028,0.25817416898874
"C19orf66",0.127726921970368,5.65717228471854,1.12842543081501,0.30603275257915
"P2RY11",-0.194877150430154,0.386289739382896,0.319143045723706,0.581033133007669
"EIF3G",0.318804791009855,6.89962921783147,7.22372366493483,0.0176356796918
"DNMT1",0.104392319699585,5.85436265482951,1.05470930509065,0.321784794086518
"S1PR2",0.102052229418723,2.48645975754477,0.235988988001434,0.634607864606485
"MRPL4",0.135433937543732,5.36566161333837,1.1147264028602,0.308877048870409
"ICAM1",1.82946961660883,7.13338368520803,191.48233277096,1.40956658899644e-09
"ICAM4",-0.437455581233823,1.97406783281556,2.99146085412494,0.105605216142688
"ICAM5",0.443825427411436,0.705946532717729,1.49610864959837,0.2413939138888
"ZGLP1",-0.324919454401037,1.21393910723075,1.19996468328685,0.291754496317853
"RAVER1",0.0844748048455325,5.14979833947108,0.583264630362704,0.457671355069384
"ICAM3",0.250919305101256,2.41046948298366,1.45176735047675,0.24815107228902
"TYK2",0.136395404893737,5.74159572692395,1.19001780606912,0.293683910620578
"CDC37",0.226387874250598,8.16240548165599,5.9397661472088,0.0286926321189702
"PDE4A",-0.27668989289239,1.83682877668021,1.27140174107932,0.278395158076931
"KEAP1",0.094576934380303,5.57927982109936,0.946126957003093,0.347159066010664
"S1PR5",-0.297749048713412,4.61915907104486,6.35198510426694,0.0244372868807276
"ATG4D",-0.132156108747309,3.21885943228387,0.457313011892594,0.509863755746199
"KRI1",-0.0372762553758917,5.76791889733185,0.144295983255803,0.709728187725587
"CDKN2D",0.16597071147068,4.2397098942758,1.31575906089253,0.270516355413696
"AP1M2",0.0851322876720418,6.74108243114316,0.825085642570454,0.379017060065337
"SLC44A2",0.0939421601270721,8.39637463014519,1.07309828725976,0.317750600400043
"ILF3",0.0711560277897905,8.2433241987595,0.801496081527416,0.385729853320028
"QTRT1",0.040590848982293,3.0743191157636,0.031685684554569,0.861260635140661
"DNM2",0.152142392469496,7.48746875426486,3.08919958448604,0.100573794381237
"TMED1",0.197341869198969,3.44974995192395,0.568261769312109,0.463399319596929
"CARM1",-0.00445111201141861,6.44011470498344,0.00211115777431894,0.963999014471815
"YIPF2",0.00348206729370404,5.32043475574276,0.000268160775635569,0.987165039511382
"SMARCA4",0.186093620127887,7.40761035062188,3.65954777308347,0.076353564378995
"LDLR",0.364249214859432,8.96553544598635,17.9137072302384,0.00083013989935348
"SPC24",-0.521864393401714,0.788031909031077,1.7079756719341,0.212238092371137
"KANK2",-0.265945111724485,4.81026172673972,5.61265078730347,0.0326930464597498
"DOCK6",0.166445208762799,5.7219954263475,2.12124885593236,0.167254126205242
"RAB3D",0.0549120250284648,7.23654986769433,0.349318286098444,0.56388867931996
"TMEM205",-0.0248783852418338,4.67453540683429,0.034844245141976,0.854591333541691
"CCDC159",-0.219050816539626,2.18949324339738,1.00899665638268,0.332132935091956
"SWSAP1",-0.527442597971073,1.56753267041143,4.03725483696713,0.0641221900515836
"EPOR",0.296756871049457,0.967713951752883,1.07227849499664,0.317928924362551
"PRKCSH",0.0941148899724668,7.72222487321187,0.834777812627266,0.376309786777534
"ZNF653",0.238104616220346,2.00361279819022,0.975932901966243,0.339916000307738
"ECSIT",-0.068267117964255,3.24533465908247,0.166999449109645,0.688953847053719
"ELOF1",0.302863945690486,5.27652376908432,6.76687238881319,0.0208783460760528
"ACP5",-0.166014059710776,5.41169239295795,2.48016871432751,0.137536527956305
"ZNF627",-0.216777951684529,3.26559962934495,2.17549967714417,0.162281747688238
"ZNF823",-0.389472432339656,3.21107650769699,5.87446969341279,0.0294433082836367
"ZNF441",-0.140624920164734,2.68984592980015,0.371309337076678,0.552019922634975
"ZNF491",-0.27239594646839,0.662030350310185,0.431208811589229,0.522009025800901
"ZNF440",-0.044085087810191,3.82465070490698,0.113149110540297,0.741558943214057
"ZNF439",0.553750370611565,0.911204944896094,3.42696619713025,0.0852759168817918
"ZNF69",0.241765948255827,1.48934113761003,0.788380078516138,0.389540204540108
"ZNF700",0.0632363701459544,3.18155655537784,0.138679489365749,0.715155329819421
